Driver,RawDelta,AdjustedWAR,StdDelta,Consistency,RaceCount,ELO,Teams,Years,Teammates
VER,0.5629328358208959,0.34844853157214556,1.4339071242627124,0.41086202099964,67,1785.2902398164902,['Red Bull Racing'],"[2024, 2019, 2022, 2023]","['ALB', 'PER', 'GAS']"
RAI,0.38847619047619053,0.19423809523809527,0.7557136248384321,0.5695689694793045,21,1608.5261717370292,['Alfa Romeo Racing'],[2019],['GIO']
ALO,0.2936162790697665,0.14680813953488325,0.6181409284373671,0.6179931441235446,43,1500.440352503078,['Aston Martin'],"[2024, 2023]",['STR']
HAM,0.15119999999999903,0.11435382461909417,0.48897392860677474,0.6716034315897625,70,1607.6158414057672,['Mercedes'],"[2019, 2020, 2021, 2023, 2024]","['RUS', 'BOT']"
TSU,0.2436860465116288,0.10857334635443362,1.0459780169288075,0.4887638047553843,43,1605.8075183601034,"['AlphaTauri', 'RB']","[2024, 2023]","['LAW', 'DEV', 'RIC']"
VET,0.09040476190476184,0.09694711460730501,0.9286349251794488,0.5185014472902152,21,1493.613756670035,['Ferrari'],[2019],['LEC']
HUL,0.13292537313432928,0.07660679702758859,0.9424768941058288,0.5148066383874931,67,1587.1593789454914,"['Haas F1 Team', 'Renault']","[2024, 2019, 2023]","['BEA', 'MAG', 'RIC']"
NOR,0.08899242424242391,0.04449621212121196,2.0711278063157086,0.32561328054909383,66,1571.1554790619746,['McLaren'],"[2024, 2019, 2023]","['PIA', 'SAI']"
LEC,0.0807761194029856,0.0403880597014928,1.9271475465815757,0.3416295161369076,67,1614.4734692392317,['Ferrari'],"[2024, 2019, 2023]","['BEA', 'VET', 'SAI']"
OCO,0.07348837209302318,0.03674418604651159,1.1062046442594011,0.47478767209329137,43,1445.1848352636553,['Alpine'],"[2024, 2023]",['GAS']
KVY,0.05588095238095326,0.031133679292011725,0.4308884482964041,0.6988664987760479,21,1443.5516267042149,['Toro Rosso'],[2019],"['ALB', 'GAS']"
GRO,0.03890476190476293,0.019452380952381464,1.5660356349640712,0.38970620141602275,21,1483.4115216693674,['Haas F1 Team'],[2019],['MAG']
RUS,0.1060984848484846,0.015799486410382618,0.5887248110785911,0.6294356285158639,66,1615.769956477292,"['Williams', 'Mercedes']","[2024, 2019, 2023]","['HAM', 'KUB']"
RIC,-0.0070111111111114295,-0.0009965784065961128,0.8347354902994305,0.5450376936006176,45,1545.2952616360149,"['AlphaTauri', 'RB', 'Renault']","[2024, 2019, 2023]","['TSU', 'HUL']"
ALB,0.34045161290322407,-0.012069274783408314,1.6877569068710523,0.37205745707268906,62,1564.4781395502241,"['Williams', 'Red Bull Racing', 'Toro Rosso']","[2024, 2019, 2023]","['KVY', 'COL', 'VER', 'SAR']"
BOT,0.047042857142857844,-0.02271494900397719,1.2778745487914618,0.43900573915738916,70,1502.261116130105,"['Mercedes', 'Alfa Romeo', 'Kick Sauber']","[2019, 2020, 2021, 2023, 2024]","['HAM', 'ZHO']"
SAI,-0.05699230769230894,-0.07137139088978912,1.9279459166774189,0.341536363190336,65,1463.145887778347,"['McLaren', 'Ferrari']","[2024, 2019, 2023]","['NOR', 'LEC']"
MAG,-0.10710000000000132,-0.09474621568696816,1.2028052441624189,0.45396659675205825,65,1400.6224415232207,['Haas F1 Team'],"[2024, 2019, 2023]","['HUL', 'GRO']"
ZHO,-0.2068444444444446,-0.10576071877100195,1.5332854261437088,0.3947443070093562,45,1429.1807661610744,"['Alfa Romeo', 'Kick Sauber']","[2024, 2023]",['BOT']
PIA,-0.19458695652173774,-0.1665231188134482,2.4262415071740517,0.29186500656948594,46,1374.7821833382625,['McLaren'],"[2024, 2023]",['NOR']
STR,-0.5593281249999997,-0.32274121581793935,2.2140604935042947,0.3111329117858944,64,1361.3539472214552,"['Racing Point', 'Aston Martin']","[2024, 2019, 2023]","['ALO', 'PER']"
PER,0.06620149253731329,-0.36579462188072914,2.454107752046452,0.2895103661452168,67,1523.5560016374432,"['Racing Point', 'Red Bull Racing']","[2024, 2019, 2022, 2023]","['VER', 'STR']"
GAS,-0.23522307692307676,-0.37887156192425436,1.0329719447778922,0.4918907034446325,65,1474.498651628685,"['Alpine', 'Red Bull Racing', 'Toro Rosso']","[2024, 2019, 2023]","['KVY', 'DOO', 'VER', 'OCO']"
GIO,-0.38847619047619053,-0.40503726405492496,0.7557136248384321,0.5695689694793045,21,1391.4738282629708,['Alfa Romeo Racing'],[2019],['RAI']
KUB,-0.5510238095238075,-0.5944719169945178,0.5186448797952905,0.6584817907757325,21,1345.1723198257616,['Williams'],[2019],['RUS']
DEV,-0.6745000000000033,-0.694085855669452,0.5270660774513944,0.6548505102470455,10,1361.1772008862747,['AlphaTauri'],[2023],['TSU']
SAR,-0.8773857142857119,-0.721553849768292,1.7006799862143966,0.37027711728323737,35,1328.3588130808919,['Williams'],"[2024, 2023]",['ALB']
