Driver,Team,WDC_Probability,AvgPoints,AvgRank
VER,Red Bull Racing,98.48,405.548,1.0171
NOR,McLaren,0.9400000000000001,258.3174,3.2219
LEC,Ferrari,0.38999999999999996,247.0435,3.6322
HAM,Mercedes,0.15,236.5609,4.0004
SAI,Ferrari,0.02,198.595,5.6794
RUS,Mercedes,0.02,207.369,5.2819
GAS,Alpine,0.0,10.0004,18.4332
PER,Red Bull Racing,0.0,167.6235,7.0827
STR,Aston Martin,0.0,42.6785,14.1813
PIA,McLaren,0.0,178.53,6.6058
ZHO,Kick Sauber,0.0,16.3912,17.4916
MAG,Haas F1 Team,0.0,38.1259,14.6754
ALB,Williams,0.0,44.9583,13.8777
BOT,Kick Sauber,0.0,21.9798,16.6838
ALO,Aston Martin,0.0,122.0995,8.9218
RIC,RB,0.0,59.6539,12.4319
OCO,Alpine,0.0,36.8968,14.7486
HUL,Haas F1 Team,0.0,67.9139,11.7496
TSU,RB,0.0,84.5946,10.6456
SAR,Williams,0.0,3.1548,19.6381
