Driver,PoleProb,Q3Prob,AvgGridPos
NOR,19.8,86.1,5.286
HAM,13.600000000000001,77.3,6.688
LEC,10.8,77.7,6.757
SAI,10.7,83.6,5.974
RUS,10.2,79.7,6.418
ALO,5.6000000000000005,59.599999999999994,9.097
HUL,5.3,72.3,7.485
VER,5.2,56.39999999999999,9.563
GAS,3.4000000000000004,71.89999999999999,7.828
STR,2.8000000000000003,49.9,10.157
MAG,2.4,33.5,12.201
ZHO,2.1999999999999997,37.1,11.691
PIA,2.1999999999999997,35.4,11.941
TSU,2.0,50.0,10.253
DOO,1.7999999999999998,47.199999999999996,10.592
ALB,1.6,54.7,9.947
LAW,0.4,25.0,13.244
COL,0.0,1.7000000000000002,17.18
BOT,0.0,0.8999999999999999,17.698
