Driver,PoleProb,Q3Prob,AvgGridPos
NOR,12.8,73.1,7.321
MAG,11.700000000000001,75.5,6.851
SAI,11.700000000000001,73.9,7.103
ALB,9.1,69.8,7.81
HUL,7.5,79.5,6.792
GAS,6.6000000000000005,70.1,7.869
PIA,6.5,62.3,8.688
LEC,4.6,44.2,10.809
RIC,4.3999999999999995,74.8,7.442
STR,4.2,53.300000000000004,9.912
ALO,4.1000000000000005,51.5,9.939
RUS,3.5999999999999996,42.8,10.994
BOT,3.3000000000000003,46.800000000000004,10.553
ZHO,2.9000000000000004,46.9,10.585
TSU,2.8000000000000003,47.3,10.4
PER,2.0,25.900000000000002,13.043
OCO,1.0999999999999999,22.8,13.334
HAM,1.0999999999999999,39.5,11.555
