Driver,PoleProb,Q3Prob,AvgGridPos
RIC,11.3,67.5,7.971
PIA,11.1,72.2,7.542
HUL,9.6,63.1,8.473
SAI,6.6000000000000005,52.7,9.796
VER,5.7,50.3,10.612
RUS,5.6000000000000005,46.2,11.218
TSU,5.2,50.2,10.404
LEC,4.6,46.400000000000006,10.999
ALO,4.3999999999999995,47.5,11.005
ZHO,4.1000000000000005,59.699999999999996,9.026
PER,4.0,45.7,11.116
HAM,4.0,49.4,10.802
GAS,3.9,49.1,10.748
MAG,3.5000000000000004,48.9,10.447
BOT,3.3000000000000003,51.5,10.461
OCO,3.2,39.2,11.958
ALB,3.2,49.2,10.66
STR,3.0,50.0,10.622
SAR,2.6,39.900000000000006,11.685
NOR,1.0999999999999999,21.3,14.455
