Driver,PoleProb,Q3Prob,AvgGridPos
PER,17.7,84.89999999999999,5.284
VER,10.2,63.1,8.611
ALO,6.9,55.7,9.843
COL,6.9,64.2,8.623
NOR,6.1,65.10000000000001,8.387
PIA,5.8999999999999995,55.50000000000001,9.8
BEA,5.6000000000000005,57.199999999999996,9.624
RUS,5.5,50.3,10.433
ALB,5.0,53.400000000000006,10.032
HUL,5.0,56.2,9.623
STR,4.3999999999999995,53.900000000000006,9.977
SAI,3.9,36.9,12.238
LEC,3.6999999999999997,42.6,11.91
HAM,3.3000000000000003,42.699999999999996,11.543
BOT,3.2,54.7,9.809
RIC,2.0,35.8,12.514
GAS,1.5,34.5,12.697
OCO,1.5,30.9,12.851
ZHO,1.2,41.699999999999996,11.507
TSU,0.5,20.7,14.694
