Driver,PoleProb,Q3Prob,AvgGridPos
HAM,9.6,57.4,9.223
SAI,8.7,60.4,9.063
LEC,7.7,55.00000000000001,9.605
VER,7.3999999999999995,55.2,9.676
TSU,6.800000000000001,60.0,8.931
ALB,6.6000000000000005,54.300000000000004,9.911
NOR,6.3,54.800000000000004,9.662
PER,6.3,54.400000000000006,9.798
PIA,5.3,53.300000000000004,9.816
RIC,4.7,56.39999999999999,9.447
HUL,4.6,43.6,11.194
RUS,4.5,38.7,11.881
MAG,4.5,56.3,9.714
STR,4.1000000000000005,51.9,10.125
ALO,3.9,42.9,11.065
BOT,3.4000000000000004,62.7,8.809
ZHO,2.7,58.3,9.333
OCO,1.7000000000000002,44.800000000000004,11.056
GAS,1.2,39.6,11.691
