Driver,PoleProb,Q3Prob,AvgGridPos
SAR,14.099999999999998,82.6,5.941
MAG,10.8,75.0,7.065
TSU,9.9,80.30000000000001,6.441
ALB,7.000000000000001,66.4,8.143
OCO,6.7,63.4,8.719
GAS,6.5,58.599999999999994,9.067
NOR,5.6000000000000005,48.8,10.509
RIC,5.3,66.2,8.522
HAM,5.2,44.0,10.891
HUL,4.6,62.4,8.876
SAI,4.3999999999999995,49.8,10.263
PER,3.6999999999999997,42.6,11.323
VER,3.5999999999999996,39.1,11.753
PIA,3.3000000000000003,41.3,11.469
RUS,3.2,41.9,11.369
BOT,1.9,33.0,12.625
LEC,1.7000000000000002,37.2,12.031
ALO,1.4000000000000001,34.1,12.503
STR,1.0999999999999999,33.300000000000004,12.49
