Driver,PoleProb,Q3Prob,AvgGridPos
HAM,14.299999999999999,77.9,6.543
HUL,12.7,76.0,6.845
VER,12.3,76.3,6.691
RUS,8.4,65.7,8.201
PIA,7.5,59.0,9.139
ALO,7.5,63.0,8.691
STR,6.5,63.800000000000004,8.425
ALB,6.2,58.599999999999994,9.258
TSU,4.2,59.9,9.027
LEC,3.6999999999999997,50.3,10.27
NOR,3.5999999999999996,43.9,11.147
RIC,3.4000000000000004,51.7,10.064
SAI,3.3000000000000003,47.8,10.601
SAR,2.5,38.9,11.668
MAG,1.9,59.599999999999994,9.481
OCO,0.8,39.7,11.629
PER,0.8,35.3,12.153
BOT,0.4,32.6,12.489
GAS,0.0,0.0,17.678
