Driver,PoleProb,Q3Prob,AvgGridPos
NOR,15.1,77.4,6.452
VER,13.8,75.5,6.643
PIA,10.0,64.0,8.638
HUL,7.8,70.1,7.602
ALO,7.3999999999999995,58.8,9.139
GAS,6.1,55.00000000000001,9.708
RIC,5.1,66.9,8.406
STR,4.7,44.9,11.117
RUS,4.3,40.8,11.749
TSU,4.3,51.800000000000004,10.306
ALB,3.9,45.300000000000004,10.995
PER,3.2,39.300000000000004,12.147
OCO,3.2,63.3,8.683
SAR,3.0,87.3,5.767
LEC,2.1999999999999997,20.9,14.645
HAM,2.1,33.0,12.943
SAI,1.6,25.5,13.891
ZHO,1.2,38.6,11.635
MAG,0.8,20.9,14.72
BOT,0.2,20.7,14.814
