Driver,PoleProb,Q3Prob,AvgGridPos
VER,15.5,67.7,7.735
TSU,10.100000000000001,64.9,8.281
HAM,8.3,63.9,8.36
PIA,7.9,64.5,8.321
LEC,7.8,54.300000000000004,9.948
NOR,7.6,53.5,9.988
RIC,7.1,57.099999999999994,9.333
RUS,6.1,52.300000000000004,10.244
SAI,5.800000000000001,46.6,10.906
PER,5.3,58.8,9.285
OCO,4.9,56.10000000000001,9.638
SAR,3.0,61.8,8.965
GAS,2.7,47.199999999999996,10.791
MAG,2.1999999999999997,56.99999999999999,9.556
BOT,1.6,63.3,8.757
HUL,1.5,27.200000000000003,13.728
STR,1.0999999999999999,32.7,13.032
ALB,0.6,16.8,15.524
ALO,0.5,22.400000000000002,14.638
ZHO,0.4,31.900000000000002,12.97
