Driver,PoleProb,Q3Prob,AvgGridPos
HAM,17.4,70.7,7.251
VER,13.8,64.60000000000001,8.288
PIA,8.3,59.0,9.264
LEC,8.0,65.4,8.191
NOR,7.9,64.5,8.651
ALO,7.6,58.4,9.493
RUS,5.7,64.7,8.612
RIC,4.8,57.099999999999994,9.562
PER,4.3,64.4,8.55
TSU,3.9,54.400000000000006,9.891
STR,3.2,35.6,12.672
SAI,3.0,35.9,12.367
ALB,2.9000000000000004,47.8,10.738
BOT,2.5,39.800000000000004,11.7
HUL,2.3,53.7,10.083
MAG,1.4000000000000001,47.3,10.828
SAR,1.2,29.4,13.366
ZHO,1.0999999999999999,39.4,11.867
OCO,0.5,35.8,12.527
GAS,0.2,12.1,16.099
