Driver,PoleProb,Q3Prob,AvgGridPos
NOR,11.799999999999999,64.5,8.307
ALB,9.2,63.0,8.589
COL,7.5,72.6,7.325
VER,5.8999999999999995,45.300000000000004,11.133
PIA,5.6000000000000005,50.7,10.45
LEC,5.5,43.3,11.403
BOT,5.4,69.0,7.812
RIC,5.3,56.3,9.608
ALO,5.3,57.599999999999994,9.683
SAI,5.2,45.5,11.047
PER,5.0,48.699999999999996,10.591
MAG,4.7,52.7,10.106
RUS,4.1000000000000005,41.8,11.87
HAM,4.0,44.2,11.314
OCO,3.6999999999999997,49.1,10.631
STR,3.3000000000000003,50.8,10.45
ZHO,3.2,61.0,9.047
GAS,2.9000000000000004,33.4,12.43
HUL,2.0,30.8,13.211
TSU,0.4,19.7,14.993
