Driver,PoleProb,Q3Prob,AvgGridPos
HAM,14.099999999999998,70.8,7.597
RUS,13.600000000000001,71.0,7.351
SAI,12.7,67.5,7.871
LEC,11.0,65.9,8.254
NOR,7.9,55.1,9.776
VER,6.800000000000001,66.7,8.31
HUL,4.3,57.9,9.589
ALO,4.3,53.0,9.87
PIA,3.9,47.199999999999996,10.847
COL,3.5000000000000004,54.400000000000006,9.966
PER,3.1,51.0,10.373
MAG,3.0,65.3,8.703
ZHO,2.9000000000000004,49.3,10.736
TSU,2.5,54.6,9.907
LAW,2.1,42.199999999999996,11.358
BOT,2.1,38.7,12.0
OCO,1.0,39.6,11.925
STR,0.8999999999999999,27.1,13.723
GAS,0.2,6.2,16.997
ALB,0.1,16.5,14.847
