Driver,PoleProb,Q3Prob,AvgGridPos
LEC,11.5,68.89999999999999,7.694
NOR,9.8,69.3,7.782
HAM,9.1,67.4,8.078
SAI,8.200000000000001,66.4,8.109
PIA,7.9,61.6,8.663
COL,5.6000000000000005,54.2,9.29
HUL,5.4,58.9,8.915
RUS,5.4,62.7,8.699
MAG,5.2,62.0,8.617
VER,5.2,55.300000000000004,9.352
GAS,4.7,58.3,9.072
LAW,4.5,55.60000000000001,9.493
BOT,3.9,51.4,9.96
STR,3.6999999999999997,57.199999999999996,9.312
PER,3.6999999999999997,50.7,9.975
OCO,3.3000000000000003,49.5,9.936
ZHO,2.9000000000000004,50.6,10.053
