Driver,PoleProb,Q3Prob,AvgGridPos
GAS,11.200000000000001,69.5,7.735
SAR,10.0,76.0,6.817
PER,8.4,55.400000000000006,9.559
BOT,7.6,70.6,7.784
ZHO,6.9,64.2,8.421
NOR,6.9,53.7,9.857
ALB,6.1,61.9,8.917
RUS,5.800000000000001,58.699999999999996,9.22
LEC,5.0,45.800000000000004,11.178
VER,4.6,43.5,11.441
HUL,4.3,47.5,10.891
ALO,4.1000000000000005,52.0,10.283
TSU,3.1,39.900000000000006,11.854
SAI,3.1,35.699999999999996,12.513
OCO,2.9000000000000004,45.5,11.124
HAM,2.8000000000000003,43.7,11.301
RIC,2.4,42.8,11.588
STR,2.1999999999999997,36.199999999999996,12.533
MAG,1.7000000000000002,32.800000000000004,12.957
PIA,0.8999999999999999,24.6,14.027
