Driver,PoleProb,Q3Prob,AvgGridPos
LEC,13.3,78.10000000000001,6.562
PIA,12.9,82.39999999999999,5.947
NOR,11.600000000000001,79.2,6.524
SAI,10.299999999999999,67.30000000000001,8.04
RIC,6.800000000000001,59.9,9.102
TSU,5.2,49.5,10.089
SAR,4.9,61.4,8.856
GAS,4.9,52.900000000000006,9.833
ALB,4.8,49.0,10.261
ALO,4.8,67.7,8.302
VER,3.4000000000000004,46.7,10.684
ZHO,3.4000000000000004,71.1,7.91
STR,3.3000000000000003,41.9,11.023
HAM,3.0,37.7,11.479
RUS,2.5,37.3,11.826
BOT,2.3,52.900000000000006,9.904
HUL,1.9,38.7,11.547
OCO,0.7000000000000001,26.3,13.111
