Driver,PoleProb,Q3Prob,AvgGridPos
RIC,15.8,81.8,5.742
VER,7.000000000000001,51.5,10.34
NOR,5.8999999999999995,53.7,10.06
GAS,5.7,59.0,9.208
HUL,5.5,52.5,10.068
PIA,5.5,53.400000000000006,9.899
PER,5.5,46.800000000000004,10.951
TSU,5.3,54.50000000000001,9.908
LEC,5.0,48.699999999999996,10.713
ALO,4.8,52.1,10.409
STR,4.2,43.0,11.568
SAR,4.0,42.8,11.447
MAG,4.0,48.3,10.764
HAM,4.0,51.800000000000004,10.282
BOT,3.6999999999999997,47.699999999999996,10.902
OCO,3.5999999999999996,52.7,10.095
BEA,3.5999999999999996,46.800000000000004,10.719
RUS,3.3000000000000003,46.800000000000004,11.198
ALB,3.0,41.099999999999994,11.859
ZHO,0.6,25.0,13.868
