Driver,PoleProb,Q3Prob,AvgGridPos
LEC,10.8,67.4,7.978
NOR,9.6,62.0,8.591
ALO,9.3,64.1,8.452
VER,8.200000000000001,59.699999999999996,9.081
HUL,7.8,65.5,8.43
RUS,7.5,57.199999999999996,9.448
PIA,7.199999999999999,54.50000000000001,9.638
TSU,6.6000000000000005,62.8,8.768
PER,5.800000000000001,52.0,9.963
HAM,5.800000000000001,58.4,9.201
SAI,4.8,46.9,10.62
COL,2.4,42.8,11.154
STR,2.3,49.4,10.616
MAG,2.3,38.2,12.061
ZHO,2.1999999999999997,52.300000000000004,10.122
BOT,2.1,55.2,9.801
OCO,2.0,35.199999999999996,12.297
RIC,1.7000000000000002,40.300000000000004,11.652
GAS,1.6,36.1,12.127
