Driver,PoleProb,Q3Prob,AvgGridPos
VER,20.1,82.89999999999999,5.672
LEC,14.000000000000002,82.39999999999999,5.841
GAS,10.2,65.5,8.305
SAI,9.700000000000001,73.5,7.158
NOR,6.0,57.4,9.466
OCO,6.0,46.6,10.931
HAM,3.9,36.6,12.48
RUS,3.9,42.1,11.625
HUL,3.8,49.6,10.564
ALB,3.4000000000000004,70.3,7.908
PER,3.3000000000000003,43.6,11.529
ALO,2.7,42.199999999999996,11.464
PIA,2.4,39.300000000000004,12.026
BOT,2.4,40.5,11.819
ZHO,2.3,41.5,11.703
MAG,1.7999999999999998,61.1,9.008
TSU,1.7999999999999998,38.0,12.154
RIC,1.6,38.3,12.124
SAR,0.4,32.5,12.885
STR,0.3,16.1,15.338
