Driver,PoleProb,Q3Prob,AvgGridPos
NOR,9.700000000000001,63.6,8.272
VER,9.6,67.80000000000001,8.073
TSU,7.9,65.0,8.392
PIA,7.3999999999999995,60.0,8.857
HUL,7.000000000000001,63.2,8.6
LEC,6.9,60.4,8.945
SAI,6.800000000000001,57.9,9.21
PER,6.2,68.0,7.95
MAG,5.7,56.599999999999994,9.214
STR,5.6000000000000005,55.900000000000006,9.361
GAS,5.5,50.4,10.105
COL,4.7,62.5,8.906
RUS,4.3999999999999995,54.300000000000004,9.589
OCO,3.4000000000000004,50.7,10.147
LAW,2.7,43.8,11.006
ZHO,2.6,48.5,10.487
ALO,2.5,35.9,11.96
BOT,1.4000000000000001,35.5,11.926
